id,name,segment,currentBalance,currentRate,recommendedRate,sensitivity,churnRisk,confidenceScore,projectedSavings,lastUpdated
WH001,"PT Astra International Tbk",Corporate,5750000000000,4.5,3.8,Low,12,94,40250000000,2025-11-08
WH002,"PT Telkom Indonesia Tbk",Corporate,4200000000000,4.2,3.5,Low,15,91,29400000000,2025-11-08
WH003,"PT Unilever Indonesia Tbk",Corporate,3800000000000,4.8,4,Medium,22,88,30400000000,2025-11-07
WH004,"PT Bank Central Asia Tbk",Corporate,8500000000000,3.9,3.2,Low,8,96,59500000000,2025-11-08
WH005,"PT Pertamina (Persero)",Corporate,6900000000000,4.3,3.7,Low,10,93,41400000000,2025-11-08
WH006,"PT Sinar Mas Agro Resources",Commercial,2100000000000,5.2,4.5,Medium,28,85,14700000000,2025-11-07
WH007,"PT Indofood Sukses Makmur",Commercial,1850000000000,5,4.3,Medium,25,87,12950000000,2025-11-08
WH008,"PT Kalbe Farma Tbk",Commercial,1600000000000,4.9,4.2,Low,18,90,11200000000,2025-11-08
WH009,"PT Gudang Garam Tbk",Commercial,1950000000000,5.3,4.6,High,35,82,13650000000,2025-11-06
WH010,"PT Mayora Indah Tbk",Commercial,1400000000000,5.1,4.4,Medium,26,86,9800000000,2025-11-07
WH011,"PT Garuda Indonesia",Commercial,980000000000,5.8,5,High,42,78,7840000000,2025-11-05
WH012,"PT Wijaya Karya (Persero)",GVI,1250000000000,4.7,4,Low,14,92,8750000000,2025-11-08
WH013,"PT Adhi Karya (Persero)",GVI,1100000000000,4.6,3.9,Low,16,90,7700000000,2025-11-08
WH014,"PT Pembangunan Perumahan (Persero)",GVI,950000000000,4.8,4.1,Medium,20,88,6650000000,2025-11-07
WH015,"PT Waskita Karya (Persero)",GVI,1350000000000,4.9,4.2,Medium,23,87,9450000000,2025-11-07
WH016,"PT Hutama Karya (Persero)",GVI,880000000000,4.5,3.8,Low,17,89,6160000000,2025-11-08
WH017,"PT Mitra Sejahtera Abadi",SME,450000000000,6.2,5.5,High,38,80,3150000000,2025-11-06
WH018,"PT Berkah Jaya Sentosa",SME,380000000000,6.5,5.8,High,41,77,2660000000,2025-11-05
WH019,"PT Cahaya Mandiri Perkasa",SME,520000000000,6,5.3,Medium,32,83,3640000000,2025-11-07
WH020,"PT Sukses Bersama Makmur",SME,410000000000,6.3,5.6,High,39,79,2870000000,2025-11-06
WH021,"PT Harapan Jaya Utama",SME,350000000000,6.4,5.7,Medium,34,81,2450000000,2025-11-07
WH022,"PT Karya Bersama Sejahtera",SME,480000000000,6.1,5.4,Medium,30,84,3360000000,2025-11-07
WH023,"PT Maju Bersama Mandiri",SME,390000000000,6.6,5.9,High,43,76,2730000000,2025-11-05
WH024,"PT Sentosa Jaya Abadi",SME,440000000000,6.2,5.5,Medium,33,82,3080000000,2025-11-06
WH025,"PT Prima Usaha Mandiri",SME,360000000000,6.5,5.8,High,40,78,2520000000,2025-11-05
WH026,"PT Sejahtera Bersama Jaya",SME,500000000000,5.9,5.2,Medium,29,85,3500000000,2025-11-07
WH027,"PT Makmur Jaya Sentosa",SME,420000000000,6.3,5.6,High,37,80,2940000000,2025-11-06
WH028,"PT Bersama Maju Sejahtera",SME,470000000000,6,5.3,Medium,31,83,3290000000,2025-11-07
WH029,"PT Jaya Abadi Makmur",SME,400000000000,6.4,5.7,High,36,81,2800000000,2025-11-06
WH030,"PT Mandiri Sejahtera Utama",SME,430000000000,6.1,5.4,Medium,32,82,3010000000,2025-11-07
